,fips,county,state,state_code,median_age_2017,population_2017,female_percentage_2017,lat,long,Race_Hispanic,Race_White,Race_Black,Race_Native,Race_Asian,Race_Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,WorkType_Professional,WorkType_Service,WorkType_Office,WorkType_Construction,WorkType_Production,Transp_Drive,Transp_Carpool,Transp_Transit,Transp_Walk,Transp_OtherTransp,Transp_WorkAtHome,MeanCommute,Employed,Work_PrivateWork,Work_PublicWork,Work_SelfEmployed,Work_FamilyWork,Work_Unemployment,crime_rate_per_100000,IDNO,Crime_CPOPARST,Crime_CPOPCRIM,Crime_AG_ARRST,Crime_AG_OFF,Crime_COVIND,Crime_MODINDX,Crime_MURDER,Crime_RAPE,Crime_ROBBERY,Crime_AGASSLT,Crime_BURGLRY,Crime_LARCENY,Crime_MVTHEFT,Crime_ARSON,democrat
1,1001,Autauga County,Alabama,AL,37.8,55200,51.31521739,32.53492293,-86.64273014,2.7,75.4,18.9,0.3,0.9,0,41016,55317,2838,27824,2024,13.7,20.1,35.3,18,23.2,8.1,15.4,86,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2,251.6019259,1,57161,54604,3,3,100,1765,3,15,34,87,447,1233,85,108,0
2,1003,Baldwin County,Alabama,AL,42.8,208107,51.3769359,30.72747877,-87.72256353,4.4,83.1,9.5,0.8,0.7,0,155376,52562,1348,29364,735,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27,89527,80.7,12.9,6.3,0.1,5.5,228.086325,2,187467,187467,14,14,100,4988,8,30,76,332,967,3829,192,31,0
3,1005,Barbour County,Alabama,AL,39.9,25782,46.87378791,31.86958144,-85.39320979,4.2,45.7,47.8,0.2,0.6,0,20269,33368,2551,17561,798,27.2,44.9,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4,177.2787709,3,27228,25566,6,4,97.0113,474,0,4,8,36,90,362,21,0,0
4,1007,Bibb County,Alabama,AL,39.9,22527,46.0558441,32.99862823,-87.12647507,2.4,74.6,22,0.4,0,0,17662,43404,3431,20911,1889,15.2,26.6,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30,8171,76,17.4,6.3,0.3,8.2,217.6616915,4,22907,22857,5,6,94.4853,399,1,4,8,36,122,251,27,0,0
5,1009,Blount County,Alabama,AL,40.8,57645,50.67395264,33.98086883,-86.5673804,9,87.4,1.5,0.3,0.1,0,42513,47412,2630,22021,850,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35,21380,83.9,11.9,4,0.1,4.9,210.8100636,5,57909,57909,6,6,98.6338,1347,1,11,9,101,397,865,86,9,0
6,1011,Bullock County,Alabama,AL,39.6,10352,45.29559505,32.10052546,-85.71567933,0.3,21.6,75.6,1,0.7,0,8212,29655,5376,20856,2355,28.5,50.4,19.7,17.1,18.6,14,30.6,73.1,15.7,0.3,6.2,1.7,3,29.8,4290,81.4,13.6,5,0,12.1,526.3652599,6,10584,10584,2,2,57.5822,156,0,2,12,43,98,55,3,23,1
7,1013,Butler County,Alabama,AL,40.7,20025,53.2184769,31.75242916,-86.68027562,0.3,52.2,44.7,0.1,1.1,0,15459,36326,2701,19004,943,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0,0.9,0.9,2,23.2,7727,79.1,15.3,5.3,0.3,7.6,537.8731804,7,20741,20733,4,4,97.6483,621,6,5,11,87,182,408,30,3,0
8,1015,Calhoun County,Alabama,AL,39.7,115098,51.94095466,33.77141566,-85.82603922,3.6,72.7,20.4,0.2,1,0,88383,43686,1491,23638,793,18.6,26.6,29,17.5,23.7,10.4,19.4,85,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1,580.7976974,8,122213,118270,8,10,99.5075,5339,6,37,131,504,1710,3482,147,34,0
9,1017,Chambers County,Alabama,AL,43,33826,51.9393366,32.91434535,-85.39203022,2.2,56.2,39.3,0.3,1,0,26259,37342,2011,22002,1205,18.8,29.1,24.3,13.5,23,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2,23.6,14527,84.5,11.8,3.7,0,6.4,562.0279843,9,34075,34075,4,4,100,1345,1,7,24,160,374,875,96,5,0
10,1019,Cherokee County,Alabama,AL,45.9,25853,50.41194446,34.17590465,-85.60380096,1.6,91.8,5,0.5,0.1,0,20620,40041,2316,23010,1354,16.1,20,28.8,14.8,18.1,11.9,26.5,85,12.1,0.4,0.3,0.3,2,26.5,9879,74.8,17.1,8.1,0,5.3,415.9829027,10,26141,26162,4,5,100,1014,1,4,2,102,329,610,75,12,0
11,1021,Chilton County,Alabama,AL,38.6,43930,50.66697018,32.84786731,-86.71879022,7.7,80.4,9.5,0.4,0.4,0,31776,43501,2877,23368,1925,19.4,27.8,25.3,14.5,23.7,15.5,21,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675,81.1,14,4.5,0.4,6.7,354.9407294,11,43975,44071,5,6,99.8366,1362,0,13,14,129,389,886,87,8,0
12,1023,Choctaw County,Alabama,AL,46.1,13075,52.17590822,32.01977172,-88.26317981,0.5,56.3,42.1,0,0.1,0,10454,32122,2797,20994,1307,22.3,32.8,23.6,15.4,22,17.1,21.9,81.8,13.7,0,1.7,1.2,1.6,32.7,4301,79.9,14.8,4.9,0.4,9.8,96.82705199,12,13664,13000,4,2,100,85,1,0,0,12,38,42,5,0,0
13,1025,Clarke County,Alabama,AL,42.3,24387,52.68380695,31.67667781,-87.83080862,0.2,53,45.7,0.1,0.5,0.1,19087,33827,2336,20765,1203,25.3,30.7,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933,83.1,11.8,5.1,0,15.2,480.0253898,13,25798,25447,5,4,97.2472,605,0,16,12,93,172,399,34,1,0
14,1027,Clay County,Alabama,AL,43.7,13378,51.68186575,33.2690236,-85.86057902,3.1,80.2,14.7,0.9,0,0,10332,37287,6507,21330,1553,19.1,23.5,22.2,14.6,18.4,12.9,31.9,87.5,6,0,2.8,0.6,3,30.3,5509,77.8,14.5,7.7,0,6.4,430.075634,14,13918,13918,3,3,100,132,0,0,3,55,26,95,11,24,0
15,1029,Cleburne County,Alabama,AL,42.5,14938,51.25853528,33.6745132,-85.51880933,2.4,92.7,2.8,0.3,0.5,0,11329,37396,5390,20873,1251,19.1,31,25.7,11.4,23.2,18,21.7,81.8,14.5,0,0.9,0.1,2.7,33.2,5743,76.1,15.7,8.2,0,7.8,193.4106976,15,14895,14895,3,3,86.7517,274,0,1,2,25,88,178,8,2,0
