January 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",50.7,109,4.4,46.3
AL-003,"Baldwin County",54.8,104,3.8,51
AL-005,"Barbour County",51.6,101,3.8,47.8
AL-007,"Bibb County",48.7,107,4.4,44.3
AL-009,"Blount County",46.9,110,5.3,41.6
AL-011,"Bullock County",50.7,101,3.9,46.8
AL-013,"Butler County",51.9,106,4.4,47.5
AL-015,"Calhoun County",48.0,114,5.7,42.3
AL-017,"Chambers County",47.7,105,4.0,43.7
AL-019,"Cherokee County",46.8,112,5.4,41.4
AL-021,"Chilton County",49.1,107,4.4,44.7
AL-023,"Choctaw County",50.5,94,3.4,47.1
AL-025,"Clarke County",51.6,101,3.7,47.9
AL-027,"Clay County",47.3,107,4.5,42.8
AL-029,"Cleburne County",47.6,114,6.1,41.5
AL-031,"Coffee County",52.2,100,3.5,48.7
AL-033,"Colbert County",46.2,116,6.3,39.9
AL-035,"Conecuh County",52.9,104,4.2,48.7
AL-037,"Coosa County",48.5,103,4.0,44.5
AL-039,"Covington County",52.5,98,3.6,48.9
AL-041,"Crenshaw County",51.2,101,3.8,47.4
AL-043,"Cullman County",46.2,110,5.1,41.1
AL-045,"Dale County",52.8,99,3.7,49.1
AL-047,"Dallas County",50.7,103,3.9,46.8
AL-049,"DeKalb County",44.9,107,4.9,40
AL-051,"Elmore County",50.0,106,3.9,46.1
AL-053,"Escambia County",53.3,100,3.6,49.7
AL-055,"Etowah County",47.1,111,5.2,41.9
AL-057,"Fayette County",48.0,110,5.2,42.8
AL-059,"Franklin County",45.9,113,5.7,40.2
AL-061,"Geneva County",53.3,99,3.6,49.7
AL-063,"Greene County",48.8,95,3.6,45.2
AL-065,"Hale County",48.6,92,3.3,45.3
AL-067,"Henry County",53.1,101,4.0,49.1
AL-069,"Houston County",54.9,107,4.7,50.2
AL-071,"Jackson County",44.7,106,4.8,39.9
AL-073,"Jefferson County",48.7,112,5.6,43.1
AL-075,"Lamar County",47.8,108,5.0,42.8
