July 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",82.1,106,1.4,80.7
AL-003,"Baldwin County",81.5,73,0.4,81.1
AL-005,"Barbour County",80.9,82,0.5,80.4
AL-007,"Bibb County",80.6,78,0.5,80.1
AL-009,"Blount County",79.8,85,1.0,78.8
AL-011,"Bullock County",80.9,92,0.8,80.1
AL-013,"Butler County",81.1,90,0.8,80.3
AL-015,"Calhoun County",80.2,99,1.4,78.8
AL-017,"Chambers County",80.1,104,1.7,78.4
AL-019,"Cherokee County",79.7,88,0.8,78.9
AL-021,"Chilton County",80.7,96,1.0,79.7
AL-023,"Choctaw County",82.0,101,1.2,80.8
AL-025,"Clarke County",81.3,86,0.6,80.7
AL-027,"Clay County",79.1,101,1.5,77.6
AL-029,"Cleburne County",78.9,97,1.4,77.5
AL-031,"Coffee County",81.5,96,1.0,80.5
AL-033,"Colbert County",80.4,101,1.4,79
AL-035,"Conecuh County",81.0,70,0.1,80.9
AL-037,"Coosa County",80.4,104,1.3,79.1
AL-039,"Covington County",81.5,90,0.7,80.8
AL-041,"Crenshaw County",80.8,90,0.8,80
AL-043,"Cullman County",79.4,85,0.8,78.6
AL-045,"Dale County",81.6,94,0.9,80.7
AL-047,"Dallas County",82.4,108,1.6,80.8
AL-049,"DeKalb County",78.2,91,0.9,77.3
AL-051,"Elmore County",81.8,104,1.5,80.3
AL-053,"Escambia County",81.2,70,0.1,81.1
AL-055,"Etowah County",80.0,91,1.0,79
AL-057,"Fayette County",81.1,86,0.9,80.2
AL-059,"Franklin County",79.5,84,0.8,78.7
AL-061,"Geneva County",81.9,94,1.0,80.9
AL-063,"Greene County",81.7,78,0.4,81.3
AL-065,"Hale County",81.2,79,0.4,80.8
AL-067,"Henry County",81.4,81,0.6,80.8
AL-069,"Houston County",82.1,91,0.8,81.3
AL-071,"Jackson County",78.9,95,1.1,77.8
AL-073,"Jefferson County",80.7,92,1.0,79.7
AL-075,"Lamar County",81.3,86,0.9,80.4
AL-077,"Lauderdale County",80.3,104,1.6,78.7
AL-079,"Lawrence County",79.5,86,0.6,78.9
AL-081,"Lee County",80.8,105,1.6,79.2
AL-083,"Limestone County",80.0,93,1.2,78.8
AL-085,"Lowndes County",82.4,107,1.5,80.9
AL-087,"Macon County",81.6,102,1.3,80.3
AL-089,"Madison County",79.9,96,1.2,78.7
AL-091,"Marengo County",81.7,91,0.8,80.9
AL-093,"Marion County",80.0,82,0.7,79.3
AL-095,"Marshall County",79.4,87,0.8,78.6
AL-097,"Mobile County",81.7,91,0.7,81
AL-099,"Monroe County",81.2,83,0.5,80.7
AL-101,"Montgomery County",82.0,101,1.2,80.8
AL-103,"Morgan County",79.8,88,0.9,78.9
AL-105,"Perry County",81.3,89,0.9,80.4
AL-107,"Pickens County",81.9,86,0.9,81
AL-109,"Pike County",80.9,91,0.7,80.2
AL-111,"Randolph County",79.4,104,1.6,77.8
AL-113,"Russell County",81.2,95,0.9,80.3
AL-115,"St. Clair County",80.5,101,1.5,79
AL-117,"Shelby County",80.6,96,1.1,79.5
AL-119,"Sumter County",81.8,87,0.7,81.1
AL-121,"Talladega County",80.7,101,1.6,79.1
AL-123,"Tallapoosa County",80.4,105,1.6,78.8
AL-125,"Tuscaloosa County",81.2,74,0.4,80.8
AL-127,"Walker County",80.6,87,0.8,79.8
AL-129,"Washington County",81.5,86,0.6,80.9
AL-131,"Wilcox County",82.1,103,1.3,80.8
AL-133,"Winston County",79.1,76,0.5,78.6
AZ-001,"Apache County",73.3,116,2.3,71
AZ-003,"Cochise County",81.0,123,2.9,78.1
AZ-005,"Coconino County",76.1,117,2.9,73.2
AZ-007,"Gila County",81.5,125,3.4,78.1
AZ-009,"Graham County",82.4,125,3.3,79.1
AZ-011,"Greenlee County",77.3,125,3.1,74.2
AZ-012,"La Paz County",94.1,114,2.7,91.4
AZ-013,"Maricopa County",93.4,125,4.0,89.4
AZ-015,"Mohave County",85.7,115,2.9,82.8
AZ-017,"Navajo County",75.7,117,2.6,73.1
AZ-019,"Pima County",88.6,126,3.5,85.1
AZ-021,"Pinal County",91.1,126,3.7,87.4
AZ-023,"Santa Cruz County",79.3,121,2.7,76.6
AZ-025,"Yavapai County",81.2,122,3.1,78.1
AZ-027,"Yuma County",93.9,121,3.3,90.6
AR-001,"Arkansas County",82.3,82,0.7,81.6
AR-003,"Ashley County",83.8,120,2.5,81.3
AR-005,"Baxter County",79.6,99,1.5,78.1
AR-007,"Benton County",79.8,99,1.7,78.1
AR-009,"Boone County",78.2,78,0.6,77.6
AR-011,"Bradley County",82.7,101,1.4,81.3
AR-013,"Calhoun County",82.2,84,0.7,81.5
AR-015,"Carroll County",78.7,88,1.1,77.6
AR-017,"Chicot County",83.5,111,1.7,81.8
AR-019,"Clark County",82.1,79,0.6,81.5
AR-021,"Clay County",82.3,110,2.2,80.1
AR-023,"Cleburne County",80.0,88,0.8,79.2
AR-025,"Cleveland County",81.9,83,0.6,81.3
AR-027,"Columbia County",81.3,53,-0.4,81.7
AR-029,"Conway County",82.0,96,1.3,80.7
AR-031,"Craighead County",82.6,109,2.2,80.4
AR-033,"Crawford County",81.7,104,2.0,79.7
AR-035,"Crittenden County",83.3,106,1.7,81.6
AR-037,"Cross County",82.9,106,1.6,81.3
AR-039,"Dallas County",81.9,80,0.6,81.3
AR-041,"Desha County",82.4,86,0.7,81.7
AR-043,"Drew County",82.8,100,1.4,81.4
AR-045,"Faulkner County",81.9,92,1.1,80.8
AR-047,"Franklin County",81.0,97,1.4,79.6
AR-049,"Fulton County",80.1,110,2.4,77.7
AR-051,"Garland County",81.4,90,1.0,80.4
AR-053,"Grant County",82.2,89,0.8,81.4
AR-055,"Greene County",82.2,108,2.0,80.2
AR-057,"Hempstead County",81.1,53,-0.4,81.5
AR-059,"Hot Spring County",81.9,84,0.7,81.2
AR-061,"Howard County",80.8,75,0.5,80.3
AR-063,"Independence County",80.1,84,0.7,79.4
AR-065,"Izard County",79.4,91,1.0,78.4
AR-067,"Jackson County",81.8,96,1.5,80.3
AR-069,"Jefferson County",82.2,84,0.7,81.5
AR-071,"Johnson County",79.9,89,1.0,78.9
AR-073,"Lafayette County",81.7,56,-0.3,82
AR-075,"Lawrence County",81.7,109,1.9,79.8
AR-077,"Lee County",82.6,97,1.2,81.4
AR-079,"Lincoln County",82.2,81,0.6,81.6
AR-081,"Little River County",82.1,79,0.6,81.5
AR-083,"Logan County",81.3,84,0.8,80.5
AR-085,"Lonoke County",82.2,89,0.8,81.4
AR-087,"Madison County",77.9,91,1.3,76.6
AR-089,"Marion County",79.0,86,0.9,78.1
AR-091,"Miller County",82.1,65,-0.1,82.2
AR-093,"Mississippi County",83.0,108,2.0,81
AR-095,"Monroe County",82.3,85,0.8,81.5
AR-097,"Montgomery County",80.4,86,0.8,79.6
AR-099,"Nevada County",81.1,49,-0.6,81.7
AR-101,"Newton County",77.6,85,1.0,76.6
AR-103,"Ouachita County",81.8,67,0.0,81.8
AR-105,"Perry County",82.0,92,1.0,81
