August 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",81.6,108,1.6,80
AL-003,"Baldwin County",81.4,85,0.5,80.9
AL-005,"Barbour County",80.8,94,0.9,79.9
AL-007,"Bibb County",80.0,78,0.5,79.5
AL-009,"Blount County",79.0,89,1.1,77.9
AL-011,"Bullock County",80.7,98,1.1,79.6
AL-013,"Butler County",80.9,101,1.2,79.7
AL-015,"Calhoun County",79.7,104,1.7,78
AL-017,"Chambers County",79.1,103,1.3,77.8
AL-019,"Cherokee County",79.4,94,1.3,78.1
AL-021,"Chilton County",80.1,89,1.0,79.1
AL-023,"Choctaw County",81.1,86,0.7,80.4
AL-025,"Clarke County",80.9,87,0.7,80.2
AL-027,"Clay County",78.5,105,1.6,76.9
AL-029,"Cleburne County",78.5,105,1.8,76.7
AL-031,"Coffee County",81.5,108,1.5,80
AL-033,"Colbert County",78.5,68,0.3,78.2
AL-035,"Conecuh County",80.6,78,0.2,80.4
AL-037,"Coosa County",79.8,100,1.3,78.5
AL-039,"Covington County",81.3,99,1.0,80.3
AL-041,"Crenshaw County",80.9,109,1.4,79.5
AL-043,"Cullman County",78.8,87,1.0,77.8
AL-045,"Dale County",81.5,99,1.3,80.2
AL-047,"Dallas County",81.8,108,1.6,80.2
AL-049,"DeKalb County",77.1,79,0.6,76.5
AL-051,"Elmore County",81.3,106,1.5,79.8
AL-053,"Escambia County",80.6,68,0.0,80.6
AL-055,"Etowah County",79.1,84,1.0,78.1
AL-057,"Fayette County",79.8,67,0.2,79.6
AL-059,"Franklin County",77.8,54,-0.1,77.9
AL-061,"Geneva County",81.8,105,1.4,80.4
AL-063,"Greene County",80.6,54,-0.2,80.8
AL-065,"Hale County",80.6,74,0.3,80.3
AL-067,"Henry County",81.3,93,0.9,80.4
AL-069,"Houston County",81.9,97,1.1,80.8
