October 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",67.8,109,3.2,64.6
AL-003,"Baldwin County",71.6,114,3.6,68
AL-005,"Barbour County",68.7,111,3.1,65.6
AL-007,"Bibb County",66.1,101,2.5,63.6
AL-009,"Blount County",64.3,103,2.8,61.5
AL-011,"Bullock County",68.0,109,3.0,65
AL-013,"Butler County",68.9,114,3.6,65.3
AL-015,"Calhoun County",65.1,109,3.5,61.6
AL-017,"Chambers County",65.7,109,3.3,62.4
AL-019,"Cherokee County",64.1,103,2.7,61.4
AL-021,"Chilton County",66.6,110,3.2,63.4
AL-023,"Choctaw County",68.3,110,3.4,64.9
AL-025,"Clarke County",69.4,117,3.9,65.5
AL-027,"Clay County",65.2,109,3.8,61.4
AL-029,"Cleburne County",64.4,113,3.8,60.6
AL-031,"Coffee County",70.2,115,3.9,66.3
AL-033,"Colbert County",62.9,98,2.2,60.7
AL-035,"Conecuh County",70.1,113,4.0,66.1
AL-037,"Coosa County",66.7,111,3.6,63.1
AL-039,"Covington County",70.3,116,3.9,66.4
AL-041,"Crenshaw County",68.7,113,3.4,65.3
AL-043,"Cullman County",63.3,95,2.1,61.2
AL-045,"Dale County",70.4,116,3.9,66.5
AL-047,"Dallas County",68.4,109,3.4,65
AL-049,"DeKalb County",63.0,104,2.7,60.3
AL-051,"Elmore County",67.8,110,3.2,64.6
AL-053,"Escambia County",71.0,117,4.3,66.7
AL-055,"Etowah County",64.6,106,2.9,61.7
AL-057,"Fayette County",64.2,88,1.5,62.7
AL-059,"Franklin County",62.1,83,1.3,60.8
AL-061,"Geneva County",70.8,115,3.9,66.9
AL-063,"Greene County",66.6,92,1.9,64.7
AL-065,"Hale County",66.4,91,1.8,64.6
AL-067,"Henry County",70.4,113,3.9,66.5
AL-069,"Houston County",71.4,116,4.0,67.4
AL-071,"Jackson County",63.2,104,2.7,60.5
AL-073,"Jefferson County",65.0,102,2.5,62.5
AL-075,"Lamar County",64.6,90,1.8,62.8
AL-077,"Lauderdale County",62.6,100,2.3,60.3
AL-079,"Lawrence County",62.2,89,1.3,60.9
AL-081,"Lee County",67.0,108,2.9,64.1
AL-083,"Limestone County",62.6,92,1.8,60.8
AL-085,"Lowndes County",68.5,109,3.2,65.3
AL-087,"Macon County",67.8,108,2.8,65
AL-089,"Madison County",63.1,96,2.2,60.9
AL-091,"Marengo County",67.8,106,2.8,65
AL-093,"Marion County",62.5,77,0.9,61.6
AL-095,"Marshall County",64.0,101,2.6,61.4
AL-097,"Mobile County",71.1,115,3.6,67.5
AL-099,"Monroe County",70.0,116,4.2,65.8
AL-101,"Montgomery County",68.2,107,3.0,65.2
AL-103,"Morgan County",63.2,96,2.0,61.2
AL-105,"Perry County",67.0,103,2.6,64.4
AL-107,"Pickens County",65.9,91,2.0,63.9
AL-109,"Pike County",68.9,112,3.4,65.5
