Location ID,county,fips,av_tem,rank,month
AL-001,Autauga County,1001,50.7,109,1
AL-003,Baldwin County,1003,54.8,104,1
AL-005,Barbour County,1005,51.6,101,1
AL-007,Bibb County,1007,48.7,107,1
AL-009,Blount County,1009,46.9,110,1
AL-011,Bullock County,1011,50.7,101,1
AL-013,Butler County,1013,51.9,106,1
AL-015,Calhoun County,1015,48,114,1
AL-017,Chambers County,1017,47.7,105,1
AL-019,Cherokee County,1019,46.8,112,1
AL-021,Chilton County,1021,49.1,107,1
AL-023,Choctaw County,1023,50.5,94,1
AL-025,Clarke County,1025,51.6,101,1
AL-027,Clay County,1027,47.3,107,1
AL-029,Cleburne County,1029,47.6,114,1
AL-031,Coffee County,1031,52.2,100,1
AL-033,Colbert County,1033,46.2,116,1
AL-035,Conecuh County,1035,52.9,104,1
AL-037,Coosa County,1037,48.5,103,1
AL-039,Covington County,1039,52.5,98,1
AL-041,Crenshaw County,1041,51.2,101,1
AL-043,Cullman County,1043,46.2,110,1
AL-045,Dale County,1045,52.8,99,1
AL-047,Dallas County,1047,50.7,103,1
AL-049,DeKalb County,1049,44.9,107,1
AL-051,Elmore County,1051,50,106,1
AL-053,Escambia County,1053,53.3,100,1
AL-055,Etowah County,1055,47.1,111,1
AL-057,Fayette County,1057,48,110,1
AL-059,Franklin County,1059,45.9,113,1
AL-061,Geneva County,1061,53.3,99,1
AL-063,Greene County,1063,48.8,95,1
AL-065,Hale County,1065,48.6,92,1
AL-067,Henry County,1067,53.1,101,1
AL-069,Houston County,1069,54.9,107,1
AL-071,Jackson County,1071,44.7,106,1
AL-073,Jefferson County,1073,48.7,112,1
AL-075,Lamar County,1075,47.8,108,1
AL-077,Lauderdale County,1077,45.8,116,1
AL-079,Lawrence County,1079,45.6,111,1
AL-081,Lee County,1081,48.9,99,1
AL-083,Limestone County,1083,45.6,113,1
AL-085,Lowndes County,1085,51.6,107,1
AL-087,Macon County,1087,49.8,100,1
AL-089,Madison County,1089,45.4,110,1
AL-091,Marengo County,1091,49.3,91,1
AL-093,Marion County,1093,46.6,111,1
AL-095,Marshall County,1095,45.9,108,1
AL-097,Mobile County,1097,54.3,102,1
AL-099,Monroe County,1099,52.8,105,1
AL-101,Montgomery County,1101,51.3,106,1
AL-103,Morgan County,1103,45.8,109,1
AL-105,Perry County,1105,49,93,1
AL-107,Pickens County,1107,48.8,106,1
AL-109,Pike County,1109,51.3,99,1
AL-111,Randolph County,1111,47.5,112,1
AL-113,Russell County,1113,50.7,102,1
AL-115,St. Clair County,1115,47.7,112,1
AL-117,Shelby County,1117,48.5,110,1
AL-119,Sumter County,1119,49.2,94,1
AL-121,Talladega County,1121,48,107,1
AL-123,Tallapoosa County,1123,47.9,100,1
AL-125,Tuscaloosa County,1125,49.2,111,1
AL-127,Walker County,1127,47.8,111,1
AL-129,Washington County,1129,52.2,98,1
AL-131,Wilcox County,1131,51.5,101,1
AL-133,Winston County,1133,45.9,110,1
AZ-001,Apache County,4001,32.7,91,1
AZ-003,Cochise County,4003,46.1,100,1
AZ-005,Coconino County,4005,35.6,107,1
AZ-007,Gila County,4007,44.9,111,1
AZ-009,Graham County,4009,45.1,101,1
AZ-011,Greenlee County,4011,41.6,105,1
AZ-012,La Paz County,4012,53.8,99,1
AZ-013,Maricopa County,4013,53.4,97,1
AZ-015,Mohave County,4015,45.6,104,1
AZ-017,Navajo County,4017,34,100,1
AZ-019,Pima County,4019,52.1,101,1
AZ-021,Pinal County,4021,51.7,94,1
AZ-023,Santa Cruz County,4023,47,99,1
AZ-025,Yavapai County,4025,44.3,106,1
AZ-027,Yuma County,4027,55.4,99,1
AR-001,Arkansas County,5001,46.4,111,1
AR-003,Ashley County,5003,48.5,109,1
AR-005,Baxter County,5005,39.6,106,1
AR-007,Benton County,5007,40.2,111,1
AR-009,Boone County,5009,39.3,107,1
AR-011,Bradley County,5011,48,112,1
AR-013,Calhoun County,1015,47.2,109,1
AR-015,Carroll County,5015,39.6,109,1
AR-017,Chicot County,5017,48.1,106,1
AR-019,Clark County,5019,45.2,102,1
AR-021,Clay County,1027,41.5,110,1
AR-023,Cleburne County,1029,41.9,106,1
AR-025,Cleveland County,5025,46.4,106,1
AR-027,Columbia County,5027,47.3,101,1
AR-029,Conway County,5029,42.3,103,1
AR-031,Craighead County,5031,42.7,114,1
AR-033,Crawford County,5033,42,108,1
AR-035,Crittenden County,5035,45.4,116,1
AR-037,Cross County,5037,44.1,111,1
AR-039,Dallas County,1047,45.6,103,1
AR-041,Desha County,5041,47.6,113,1
AR-043,Drew County,5043,48,112,1
AR-045,Faulkner County,5045,42.5,98,1
AR-047,Franklin County,1059,41.8,109,1
AR-049,Fulton County,5049,39.9,112,1
AR-051,Garland County,5051,44.4,108,1
AR-053,Grant County,5053,45.1,103,1
AR-055,Greene County,1063,41.9,111,1
AR-057,Hempstead County,5057,45.9,104,1
AR-059,Hot Spring County,5059,44.8,103,1
AR-061,Howard County,5061,45.2,110,1
AR-063,Independence County,5063,41.8,109,1
AR-065,Izard County,5065,40.1,106,1
AR-067,Jackson County,1071,42.4,108,1
AR-069,Jefferson County,1073,45.6,104,1
AR-071,Johnson County,5071,41.1,107,1
AR-073,Lafayette County,5073,47.6,105,1
AR-075,Lawrence County,1079,41.1,109,1
AR-077,Lee County,1081,45.8,114,1
AR-079,Lincoln County,5079,47,112,1
AR-081,Little River County,5081,47.2,112,1
AR-083,Logan County,5083,42.8,108,1
AR-085,Lonoke County,5085,44.4,103,1
AR-087,Madison County,1089,39.6,108,1
AR-089,Marion County,1093,39.5,107,1
AR-091,Miller County,5091,48,109,1
AR-093,Mississippi County,5093,43.9,116,1
AR-095,Monroe County,1099,45.7,111,1
AR-097,Montgomery County,1101,43.9,107,1
AR-099,Nevada County,5099,46,102,1
AR-101,Newton County,5101,39.5,107,1
AR-103,Ouachita County,5103,46.6,101,1
