"","fips","month","av_tem"
"1","10001",1,38.14
"2","10001",2,37.5
"3","10001",3,47.46
"4","10001",4,50.4
"5","10001",5,61.74
"6","10001",6,73.12
"7","10001",7,79.94
"8","10001",8,77.04
"9","10001",9,66.58
"10","10001",10,56.84
"11","10003",1,38.4
"12","10003",2,40.1
"13","10003",3,48.2
"14","10003",4,50.3
"15","10003",5,59.7
"16","10003",6,72.7
"17","10003",7,79.9
"18","10003",8,76.4
"19","10003",9,67.5
"20","10003",10,58.5
"21","10005",1,39.4666666666667
"22","10005",2,40.9
"23","10005",3,49.1333333333333
"24","10005",4,51.5
"25","10005",5,60.6666666666667
"26","10005",6,72.2
"27","10005",7,79.6666666666667
"28","10005",8,76.4333333333333
"29","10005",9,67.5
"30","10005",10,59.1666666666667
"31","1001",1,50.7
"32","1001",2,52.3
"33","1001",3,64.9
"34","1001",4,63.3
"35","1001",5,70.1
"36","1001",6,78
"37","1001",7,82.1
"38","1001",8,81.6
"39","1001",9,76
"40","1001",10,67.8
"41","1003",1,53.05
"42","1003",2,54.15
"43","1003",3,65.4
"44","1003",4,65.05
"45","1003",5,70.95
"46","1003",6,78.5
"47","1003",7,82.2
"48","1003",8,81.35
"49","1003",9,76.15
"50","1003",10,70
"51","1005",1,44.4
"52","1005",2,45.65
"53","1005",3,56.8
"54","1005",4,56.2
"55","1005",5,64.05
"56","1005",6,72.75
"57","1005",7,78.15
"58","1005",8,76.65
"59","1005",9,69.2
"60","1005",10,61.6
"61","1007",1,50.25
"62","1007",2,50.7
"63","1007",3,63.15
"64","1007",4,61.95
"65","1007",5,69.05
"66","1007",6,77.05
"67","1007",7,81.65
"68","1007",8,80.85
"69","1007",9,74.5
"70","1007",10,67.35
"71","1009",1,45.1
"72","1009",2,46.2
"73","1009",3,57.75
"74","1009",4,56.95
"75","1009",5,64.85
"76","1009",6,73.95
"77","1009",7,79.15
"78","1009",8,77.45
"79","1009",9,70.9
"80","1009",10,62.75
"81","1011",1,50.7
"82","1011",2,52.3
"83","1011",3,65.2
"84","1011",4,63.5
"85","1011",5,69.9
"86","1011",6,77.4
"87","1011",7,80.9
"88","1011",8,80.7
"89","1011",9,74.3
"90","1011",10,68
"91","1013",1,35.3375
"92","1013",2,35.9875
"93","1013",3,48.9125
"94","1013",4,52.2625
"95","1013",5,61.5625
"96","1013",6,74.3
"97","1013",7,78.3375
"98","1013",8,74.8125
"99","1013",9,66.925
"100","1013",10,54.95
"101","1015",1,44.4545454545455
"102","1015",2,44.6818181818182
"103","1015",3,56.9090909090909
"104","1015",4,58.7090909090909
"105","1015",5,66.6818181818182
"106","1015",6,75.9636363636364
"107","1015",7,80.2818181818182
"108","1015",8,78.1545454545455
"109","1015",9,71.5454545454545
"110","1015",10,61.8090909090909
"111","1017",1,52.8
"112","1017",2,52.9
"113","1017",3,65.4
