"","countyfp","facemask_never","facemask_rarely","facemask_sometimes","facemask_frequently","facemask_always","fips"
"1","01001",0.053,0.074,0.134,0.295,0.444,1001
"2","01003",0.083,0.059,0.098,0.323,0.436,1003
"3","01005",0.067,0.121,0.12,0.201,0.491,1005
"4","01007",0.02,0.034,0.096,0.278,0.572,1007
"5","01009",0.053,0.114,0.18,0.194,0.459,1009
"6","01011",0.031,0.04,0.144,0.286,0.5,1011
"7","01013",0.102,0.053,0.257,0.137,0.451,1013
"8","01015",0.152,0.108,0.13,0.167,0.442,1015
"9","01017",0.117,0.037,0.15,0.136,0.56,1017
"10","01019",0.135,0.027,0.161,0.158,0.52,1019
"11","01021",0.06,0.07,0.058,0.194,0.618,1021
"12","01023",0.049,0.038,0.126,0.219,0.568,1023
"13","01025",0.049,0.088,0.164,0.268,0.43,1025
"14","01027",0.148,0.158,0.195,0.169,0.329,1027
"15","01029",0.151,0.125,0.138,0.217,0.368,1029
"16","01031",0.101,0.152,0.094,0.186,0.466,1031
"17","01033",0.082,0.096,0.152,0.159,0.51,1033
"18","01035",0.099,0.052,0.259,0.192,0.399,1035
"19","01037",0.055,0.131,0.167,0.263,0.384,1037
"20","01039",0.187,0.128,0.129,0.201,0.356,1039
"21","01041",0.06,0.091,0.199,0.233,0.416,1041
"22","01043",0.13,0.024,0.249,0.217,0.379,1043
"23","01045",0.089,0.113,0.118,0.22,0.46,1045
"24","01047",0.095,0.1,0.159,0.122,0.524,1047
"25","01049",0.084,0.051,0.106,0.179,0.58,1049
"26","01051",0.042,0.095,0.127,0.252,0.485,1051
"27","01053",0.114,0.026,0.188,0.285,0.387,1053
"28","01055",0.096,0.103,0.178,0.122,0.501,1055
"29","01057",0.138,0.048,0.151,0.233,0.429,1057
"30","01059",0.065,0.071,0.223,0.156,0.484,1059
"31","01061",0.176,0.131,0.089,0.158,0.445,1061
"32","01063",0.03,0.053,0.127,0.167,0.623,1063
"33","01065",0.026,0.061,0.084,0.191,0.639,1065
"34","01067",0.066,0.068,0.17,0.258,0.438,1067
"35","01069",0.085,0.079,0.135,0.268,0.433,1069
"36","01071",0.092,0.089,0.11,0.249,0.46,1071
"37","01073",0.049,0.037,0.107,0.179,0.628,1073
"38","01075",0.107,0.045,0.132,0.189,0.527,1075
"39","01077",0.093,0.119,0.141,0.179,0.469,1077
"40","01079",0.162,0.08,0.088,0.251,0.419,1079
"41","01081",0.053,0.064,0.138,0.183,0.562,1081
"42","01083",0.102,0.034,0.133,0.336,0.395,1083
"43","01085",0.12,0.073,0.145,0.199,0.464,1085
"44","01087",0.008,0.033,0.241,0.172,0.545,1087
"45","01089",0.062,0.05,0.123,0.177,0.589,1089
"46","01091",0.033,0.151,0.118,0.186,0.512,1091
"47","01093",0.129,0.064,0.246,0.207,0.353,1093
"48","01095",0.075,0.064,0.129,0.253,0.479,1095
"49","01097",0.077,0.07,0.102,0.244,0.506,1097
"50","01099",0.112,0.041,0.182,0.288,0.378,1099
"51","01101",0.056,0.095,0.123,0.212,0.513,1101
"52","01103",0.078,0.077,0.082,0.304,0.459,1103
"53","01105",0.025,0.084,0.087,0.187,0.618,1105
"54","01107",0.031,0.06,0.169,0.157,0.584,1107
"55","01109",0.06,0.131,0.145,0.333,0.33,1109
