,Date,Predicted_Cumulative_NPF,Predicted_Cumulative_NPNF,Predicted_Cumulative_PF,Predicted_Cumulative_PNF
0,2020-3-31,10,10,10,10
1,2020-4-1,11.44414861,11.44414861,10.99267247,10.99267247
2,2020-4-2,12.97670155,12.97670155,11.96580795,11.96580795
3,2020-4-3,14.59890669,14.59890669,12.9811349,12.9811349
4,2020-4-4,16.37295899,16.37295899,13.92651414,13.92651414
5,2020-4-5,18.24741677,18.24741677,14.70391032,14.70391032
6,2020-4-6,20.27393693,20.27393693,15.46732161,15.46732161
7,2020-4-7,22.56507382,22.56507382,16.26474943,16.26474943
8,2020-4-8,25.05967252,25.05967252,17.11354261,17.11354261
9,2020-4-9,27.74388867,27.74388867,18.20924879,18.20924879
10,2020-4-10,30.67101795,30.67101795,19.49865156,19.49865156
11,2020-4-11,33.69521357,33.69521357,20.84617839,20.84617839
12,2020-4-12,36.86694659,36.86694659,22.20861044,22.20861044
13,2020-4-13,40.17658553,40.17658553,23.54387917,23.54387917
14,2020-4-14,43.64819136,43.64819136,24.8946408,24.8946408
15,2020-4-15,47.25319186,47.25319186,26.35877936,26.35877936
16,2020-4-16,50.97656184,50.97656184,28.02442031,28.02442031
17,2020-4-17,54.98063955,54.98063955,29.74043504,29.74043504
18,2020-4-18,59.12498073,59.12498073,31.53974748,31.53974748
19,2020-4-19,63.54024219,63.54024219,33.32714371,33.32714371
20,2020-4-20,68.24568583,68.24568583,35.18879832,35.18879832
21,2020-4-21,73.27831848,73.27831848,37.04873257,37.04873257
22,2020-4-22,78.65643578,78.65643578,38.56567946,38.56567946
23,2020-4-23,84.42194326,84.42194326,40.01474195,40.01474195
24,2020-4-24,90.57052543,90.57052543,41.44149582,41.44149582
25,2020-4-25,97.15641672,97.15641672,42.91961918,42.91961918
26,2020-4-26,104.2218592,104.2218592,44.53868317,44.53868317
27,2020-4-27,111.8138797,111.8138797,46.15201612,46.15201612
28,2020-4-28,119.8794474,119.8794474,47.80761059,47.80761059
29,2020-4-29,128.323655,128.323655,49.40071484,49.40071484
30,2020-4-30,137.3426232,137.3426232,51.00346815,51.00346815
31,2020-5-1,146.8481386,146.8481386,52.6755027,52.6755027
32,2020-5-2,156.507621,156.507621,54.35430021,54.35430021
33,2020-5-3,166.8227516,166.8227516,56.05609509,56.05609509
34,2020-5-4,177.8303079,177.8303079,57.79920621,57.79920621
35,2020-5-5,189.5237523,189.5237523,59.67068881,59.67068881
36,2020-5-6,201.8436727,201.8436727,61.56652507,61.56652507
37,2020-5-7,214.9681428,214.9681428,63.44248914,63.44248914
38,2020-5-8,228.932755,228.932755,65.4082531,65.4082531
39,2020-5-9,243.8918894,243.8918894,67.39357221,67.39357221
40,2020-5-10,259.4150866,259.4150866,69.39538908,69.39538908
41,2020-5-11,275.9121211,275.9121211,71.40322813,71.40322813
42,2020-5-12,293.3315162,293.3315162,73.46555942,73.46555942
43,2020-5-13,311.6385251,311.6385251,75.56740809,75.56740809
44,2020-5-14,331.0880862,331.0880862,77.68714467,77.68714467
45,2020-5-15,351.89737,351.89737,79.78449516,79.78449516
46,2020-5-16,374.2377901,374.2377901,81.92082703,81.92082703
47,2020-5-17,398.0015105,398.0015105,84.07442203,84.07442203
